filename,x_velocity,avg_width_px,std_dev_px
laser_line_X20_Y-2905_20260203_204837.png,20,19.8513,7.2656
laser_line_X21_Y-2905_20260203_204913.png,21,21.5012,6.1915
laser_line_X22_Y-2905_20260203_204949.png,22,23.4488,7.5269
laser_line_X23_Y-2905_20260203_205024.png,23,18.6038,5.5881
laser_line_X24_Y-2905_20260203_205058.png,24,20.0868,9.4186
laser_line_X25_Y-2905_20260203_205131.png,25,22.8427,7.105
laser_line_X26_Y-2905_20260203_205203.png,26,22.2608,6.6087
laser_line_X27_Y-2905_20260203_205235.png,27,22.0561,5.9558
laser_line_X28_Y-2905_20260203_205306.png,28,21.5721,8.9172
laser_line_X29_Y-2905_20260203_205336.png,29,22.172,7.1879
laser_line_X30_Y-2905_20260203_205406.png,30,20.6226,7.0545
laser_line_X31_Y-2905_20260203_205435.png,31,18.2026,8.6221
laser_line_X32_Y-2905_20260203_205503.png,32,18.3519,7.9983
laser_line_X33_Y-2905_20260203_205532.png,33,21.2394,8.7368
laser_line_X34_Y-2905_20260203_205559.png,34,19.4252,7.7899
laser_line_X35_Y-2905_20260203_205627.png,35,20.0133,8.2766
laser_line_X36_Y-2905_20260203_205654.png,36,19.7091,9.1304
laser_line_X37_Y-2905_20260203_205720.png,37,22.5002,10.7448
laser_line_X38_Y-2905_20260203_205746.png,38,17.1203,7.114
laser_line_X39_Y-2905_20260203_205812.png,39,19.2797,6.614
laser_line_X40_Y-2905_20260203_205838.png,40,18.228,7.5597
laser_line_X41_Y-2905_20260203_205903.png,41,18.8793,8.0117
laser_line_X42_Y-2905_20260203_205928.png,42,20.1321,8.5599
laser_line_X43_Y-2905_20260203_205953.png,43,17.9563,7.51
laser_line_X44_Y-2905_20260203_210017.png,44,18.5051,6.7399
laser_line_X45_Y-2905_20260203_210041.png,45,19.5356,7.8809
laser_line_X46_Y-2905_20260203_210105.png,46,18.1023,7.2343
laser_line_X47_Y-2905_20260203_210129.png,47,17.5157,4.201
laser_line_X48_Y-2905_20260203_210153.png,48,18.5338,5.0654
laser_line_X49_Y-2905_20260203_210216.png,49,17.1761,5.4006
laser_line_X50_Y-2905_20260203_210239.png,50,18.2006,8.3129
laser_line_X51_Y-2905_20260203_210302.png,51,16.6076,6.2993
laser_line_X52_Y-2905_20260203_210325.png,52,17.6723,7.9825
laser_line_X53_Y-2905_20260203_210347.png,53,17.4476,6.4476
laser_line_X54_Y-2905_20260203_210409.png,54,19.7684,9.3802
laser_line_X55_Y-2905_20260203_210431.png,55,18.9855,7.9556
laser_line_X56_Y-2905_20260203_210453.png,56,16.6766,4.5558
laser_line_X57_Y-2905_20260203_210515.png,57,18.4297,7.1414
laser_line_X58_Y-2905_20260203_210537.png,58,16.0315,8.0398
laser_line_X59_Y-2905_20260203_210558.png,59,17.6329,8.9101
laser_line_X60_Y-2905_20260203_210620.png,60,15.0838,5.5882
laser_line_X61_Y-2905_20260203_210641.png,61,16.7713,7.3753
laser_line_X62_Y-2905_20260203_210702.png,62,17.5492,8.3129
